AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LATITUDE,LONGITUDE,AIRPORT_IS_LATEST
1000101,10001,01A,Afognak Lake Airport,"Afognak Lake, AK",1,United States,US,Alaska,AK,02,30001,"Afognak Lake, AK",1,58,N,58.10944444,-152.90666667,1
1000301,10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",1,United States,US,Alaska,AK,02,30003,"Granite Mountain, AK",1,65,N,65.54805556,-161.07166667,1
1000401,10004,04A,Lik Mining Camp,"Lik, AK",1,United States,US,Alaska,AK,02,30004,"Lik, AK",1,68,N,68.08333333,-163.16666667,1
1000501,10005,05A,Little Squaw Airport,"Little Squaw, AK",1,United States,US,Alaska,AK,02,30005,"Little Squaw, AK",1,67,N,67.57000000,-148.18388889,1
1000601,10006,06A,Kizhuyak Bay,"Kizhuyak, AK",1,United States,US,Alaska,AK,02,30006,"Kizhuyak, AK",1,57,N,57.74527778,-152.88277778,1
1000701,10007,07A,Klawock Seaplane Base,"Klawock, AK",1,United States,US,Alaska,AK,02,30007,"Klawock, AK",1,55,N,55.55472222,-133.10166667,1
1000801,10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",1,United States,US,Alaska,AK,02,30008,"Elizabeth Island, AK",1,59,N,59.15694444,-151.82916667,1
1000901,10009,09A,Augustin Island,"Homer, AK",1,United States,US,Alaska,AK,02,30009,"Homer, AK",1,59,N,59.36277778,-153.43055556,1
1001001,10010,1B1,Columbia County,"Hudson, NY",22,United States,US,New York,NY,36,30010,"Hudson, NY",22,42,N,42.28888889,-73.71027778,0
1001002,10010,1B1,Columbia County,"Hudson, NY",22,United States,US,New York,NY,36,30010,"Hudson, NY",22,42,N,42.29138889,-73.71027778,1
1001101,10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,United States,US,Arizona,AZ,04,30011,"Peach Springs, AZ",81,35,N,35.99027778,-113.81638889,0
1001102,10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,United States,US,Arizona,AZ,04,30011,"Peach Springs, AZ",81,35,N,35.98611111,-113.81694444,0
1001103,10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,United States,US,Arizona,AZ,04,30011,"Peach Springs, AZ",81,35,N,35.99027778,-113.81638889,0
1001104,10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,United States,US,Arizona,AZ,04,30011,"Peach Springs, AZ",81,35,N,35.98611111,-113.81694444,1
1001201,10012,1N7,Blairstown Airport,"Blairstown, NJ",21,United States,US,New Jersey,NJ,34,30012,"Blairstown, NJ",21,40,N,40.97111111,-74.99750000,1
1001301,10013,8F3,Crosbyton Municipal,"Crosbyton, TX",74,United States,US,Texas,TX,48,30013,"Crosbyton, TX",74,33,N,33.62388889,-101.24083333,1
1001401,10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",1,United States,US,Alaska,AK,02,31517,"Fairbanks, AK",1,64,N,64.36416667,-147.36138889,0
1001402,10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",1,United States,US,Alaska,AK,02,31517,"Fairbanks, AK",1,64,N,64.36361111,-147.36388889,0
1001403,10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",1,United States,US,Alaska,AK,02,31517,"Fairbanks, AK",1,64,N,64.36361111,-147.36527778,1
1001501,10015,A02,Deadmans Bay Airport,"Deadmans Bay, AK",1,United States,US,Alaska,AK,02,30015,"Deadmans Bay, AK",1,57,N,57.06666667,-153.93777778,1
1001601,10016,A03,Hallo Bay Airport,"Hallo Bay, AK",1,United States,US,Alaska,AK,02,30016,"Hallo Bay, AK",1,58,N,58.45750000,-154.02333333,1
1001701,10017,A04,Red Lake Airport,"Red Lake, AK",1,United States,US,Alaska,AK,02,30017,"Red Lake, AK",1,57,N,57.27722222,-154.34222222,1
1001801,10018,A05,Shell Lake Airport,"Shell Lake, AK",1,United States,US,Alaska,AK,02,30018,"Shell Lake, AK",1,61,N,61.96388889,-151.55583333,1
1001901,10019,A06,Navigator Airstrip,"Kougarok, AK",1,United States,US,Alaska,AK,02,30019,"Kougarok, AK",1,65,N,65.65555556,-165.35638889,1
1002001,10020,A07,Roland Norton Memorial Airstrip,"Selawik, AK",1,United States,US,Alaska,AK,02,30020,"Selawik, AK",1,66,N,66.76583333,-160.15250000,0
1002002,10020,A07,Roland Norton Memorial,"Selawik, AK",1,United States,US,Alaska,AK,02,30020,"Selawik, AK",1,66,N,66.76611111,-160.15277778,1
1002101,10021,A08,Pillar Bay Airport,"Pillar Bay, AK",1,United States,US,Alaska,AK,02,30021,"Pillar Bay, AK",1,56,N,56.59805556,-134.24277778,1
1002201,10022,JOH,Johnstone Point Airport,"Johnstone Point, AK",1,United States,US,Alaska,AK,02,30022,"Johnstone Point, AK",1,60,N,60.48138889,-146.58222222,0
1002202,10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,United States,US,Alaska,AK,02,30022,"Johnstone Point, AK",1,60,N,60.48222222,-146.58222222,0
1002203,10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,United States,US,Alaska,AK,02,30022,"Johnstone Point, AK",1,60,N,60.48166667,-146.58416667,0
1002204,10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,United States,US,Alaska,AK,02,30022,"Johnstone Point, AK",1,60,N,60.48222222,-146.58222222,0
1002205,10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,United States,US,Alaska,AK,02,30022,"Johnstone Point, AK",1,60,N,60.48166667,-146.58416667,1
1002301,10023,TLK,Tikchik Lodge Airport,"Tikchik Lodge, AK",1,United States,US,Alaska,AK,02,30023,"Tikchik Lodge, AK",1,59,N,59.95555556,-158.48055556,0
1002302,10023,KTH,Tikchik Lodge Airport,"Tikchik Lodge, AK",1,United States,US,Alaska,AK,02,30023,"Tikchik Lodge, AK",1,59,N,59.95555556,-158.48055556,1
1002401,10024,A11,Bell Creek Airport,"Bell Creek, AK",1,United States,US,Alaska,AK,02,30024,"Bell Creek, AK",1,60,N,60.78388889,-159.54027778,1
1002501,10025,A12,Cinnabar Airport,"Cinnabar, AK",1,United States,US,Alaska,AK,02,30025,"Cinnabar, AK",1,60,N,60.78527778,-158.86444444,1
1002601,10026,A13,Mountaintop Mine Airport,"Mountaintop Mine, AK",1,United States,US,Alaska,AK,02,30026,"Mountaintop Mine, AK",1,61,N,61.39027778,-157.99555556,1
1002701,10027,A14,Whitebear Airport,"Whitebear, AK",1,United States,US,Alaska,AK,02,30027,"Whitebear, AK",1,61,N,61.18888889,-159.85833333,1
1002801,10028,A15,Puviaq Airport,"Puviaq, AK",1,United States,US,Alaska,AK,02,30028,"Puviaq, AK",1,70,N,70.71861111,-154.38833333,0
1002802,10028,A15,Puviaq Airport,"Puviaq, AK",1,United States,US,Alaska,AK,02,30028,"Puviaq, AK",1,70,N,70.71555556,-154.40694444,1
1002901,10029,A16,Arley Lake Airport,"Arley Lake, AK",1,United States,US,Alaska,AK,02,30029,"Arley Lake, AK",1,70,N,70.74694444,-155.36083333,1
1003001,10030,A17,Port Vita Airport,"Port Vita, AK",1,United States,US,Alaska,AK,02,30030,"Port Vita, AK",1,58,N,58.06555556,-153.07250000,1
1003101,10031,A18,Kantishna Airport,"Kantishna, AK",1,United States,US,Alaska,AK,02,30031,"Kantishna, AK",1,63,N,63.54166667,-150.99388889,0
1003102,10031,A18,Kantishna Airport,"Kantishna, AK",1,United States,US,Alaska,AK,02,30031,"Kantishna, AK",1,63,N,63.54111111,-150.99500000,0
1003103,10031,A18,Kantishna Airport,"Kantishna, AK",1,United States,US,Alaska,AK,02,30031,"Kantishna, AK",1,63,N,63.54166667,-150.99388889,0
1003104,10031,A18,Kantishna Airport,"Kantishna, AK",1,United States,US,Alaska,AK,02,30031,"Kantishna, AK",1,63,N,63.54111111,-150.99500000,1
1003301,10033,A20,Alpine Airstrip,"Alpine, AK",1,United States,US,Alaska,AK,02,30033,"Alpine, AK",1,70,N,70.34416667,-150.94472222,1
1003401,10034,A21,Serpentine Airport,"Serpentine, AK",1,United States,US,Alaska,AK,02,30034,"Serpentine, AK",1,65,N,65.85138889,-164.70277778,1
1003501,10035,A22,Driftwood Bay Airport,"Driftwood Bay, AK",1,United States,US,Alaska,AK,02,30035,"Driftwood Bay, AK",1,53,N,53.97277778,-166.85694444,1
1003601,10036,A23,Bradley Lake Airport,"Bradley Lake, AK",1,United States,US,Alaska,AK,02,30036,"Bradley Lake, AK",1,59,N,59.77611111,-151.96361111,1
1003701,10037,A24,Chilkat Lake Airport,"Chilkat Lake, AK",1,United States,US,Alaska,AK,02,30037,"Chilkat Lake, AK",1,59,N,59.33166667,-135.89666667,1
1003801,10038,A25,Nugget Creek Airport,"Nugget Creek, AK",1,United States,US,Alaska,AK,02,30038,"Nugget Creek, AK",1,59,N,59.28833333,-136.17388889,1
1003901,10039,A26,Ivotuk Airstrip,"Ivotuk, AK",1,United States,US,Alaska,AK,02,30039,"Ivotuk, AK",1,68,N,68.48333333,-155.73333333,1
1004001,10040,A27,Pogo Mines Airport,"Pogo Mines, AK",1,United States,US,Alaska,AK,02,30040,"Pogo Mines, AK",1,64,N,64.44000000,-144.93638889,1
1004101,10041,A28,Ayakulik River Airport,"Ayakulik River, AK",1,United States,US,Alaska,AK,02,30041,"Ayakulik River, AK",1,57,N,57.25388889,-154.42222222,1
1004201,10042,A29,Kiluda Bay Airport,"Kiluda Bay, AK",1,United States,US,Alaska,AK,02,30042,"Kiluda Bay, AK",1,57,N,57.32305556,-153.14944444,1
1004301,10043,A30,Terror Lake Airport,"Terror Lake, AK",1,United States,US,Alaska,AK,02,30043,"Terror Lake, AK",1,57,N,57.96388889,-153.05833333,1
1004401,10044,A31,Selief Bay Airport,"Selief Bay, AK",1,United States,US,Alaska,AK,02,30044,"Selief Bay, AK",1,58,N,58.98277778,-153.18333333,1
1004701,10047,A34,Laura Lake Airport,"Laura Lake, AK",1,United States,US,Alaska,AK,02,30047,"Laura Lake, AK",1,58,N,58.36194444,-152.31222222,1
1004901,10049,A36,Deep Bay Airport,"Deep Bay, AK",1,United States,US,Alaska,AK,02,30049,"Deep Bay, AK",1,55,N,55.56027778,-131.65555556,1
1005001,10050,A37,Kako Airport,"Kako, AK",1,United States,US,Alaska,AK,02,30050,"Kako, AK",1,61,N,61.89888889,-161.43805556,0
1005002,10050,A37,Kako Airport,"Kako, AK",1,United States,US,Alaska,AK,02,30050,"Kako, AK",1,61,N,61.89888889,-161.43972222,1
1005101,10051,A38,Molly Creek Airport,"Molly Creek, AK",1,United States,US,Alaska,AK,02,30051,"Molly Creek, AK",1,64,N,64.09722222,-143.26666667,1
1005201,10052,A39,Ptarmigan Lake Airport,"Ptarmigan Lake, AK",1,United States,US,Alaska,AK,02,30052,"Ptarmigan Lake, AK",1,61,N,61.86611111,-141.15972222,1
1005301,10053,A40,Cape Simpson Airport,"Cape Simpson, AK",1,United States,US,Alaska,AK,02,30053,"Cape Simpson, AK",1,71,N,71.05694444,-154.72833333,1
1005401,10054,A41,Kogru River Airport,"Kogru River, AK",1,United States,US,Alaska,AK,02,30054,"Kogru River, AK",1,70,N,70.57611111,-152.27111111,0
1005402,10054,A41,Kogru River Airport,"Kogru River, AK",1,United States,US,Alaska,AK,02,30054,"Kogru River, AK",1,70,N,70.57472222,-152.25888889,1
1005501,10055,A42,Teshepkuk Lake Airport,"Teshepkuk Lake, AK",1,United States,US,Alaska,AK,02,30055,"Teshepkuk Lake, AK",1,70,N,70.35833333,-153.19666667,1
1005601,10056,A43,Trident Basin Seaplane Base,"Kodiak Island, AK",1,United States,US,Alaska,AK,02,30056,"Kodiak Island, AK",1,57,N,57.78083333,-152.39111111,1
1005801,10058,A45,Lake Florence Airport,"Lake Florence, AK",1,United States,US,Alaska,AK,02,30058,"Lake Florence, AK",1,57,N,57.81666667,-134.58333333,1
1005901,10059,A46,Lake Hasselborg Airport,"Lake Hasselborg, AK",1,United States,US,Alaska,AK,02,30059,"Lake Hasselborg, AK",1,57,N,57.70000000,-134.26666667,1
1006001,10060,A47,Distin Lake Airport,"Distin Lake, AK",1,United States,US,Alaska,AK,02,30060,"Distin Lake, AK",1,57,N,57.61666667,-134.36666667,1
1006101,10061,A48,Port Hobron Airport,"Port Hobron, AK",1,United States,US,Alaska,AK,02,30061,"Port Hobron, AK",1,57,N,57.15000000,-153.15000000,1
1006201,10062,A49,Mooseville Airstrip Airport,"Mooseville Airstrip, AK",1,United States,US,Alaska,AK,02,30062,"Mooseville Airstrip, AK",1,70,N,70.28444444,-152.21194444,1
1006301,10063,A50,Big Bay Airport,"Big Bay, AK",1,United States,US,Alaska,AK,02,30063,"Big Bay, AK",1,58,N,58.56250000,-152.59611111,1
1006401,10064,A51,Wien Lake Airport,"Wien Lake, AK",1,United States,US,Alaska,AK,02,30064,"Wien Lake, AK",1,64,N,64.35277778,-151.27500000,1
1006501,10065,A52,Silver Salmon Creek Airport,"Silver Salmon Creek, AK",1,United States,US,Alaska,AK,02,30065,"Silver Salmon Creek, AK",1,59,N,59.96388889,-152.68222222,1
1006601,10066,A53,Blear Lake Airport,"Blear Lake, AK",1,United States,US,Alaska,AK,02,30066,"Blear Lake, AK",1,64,N,64.33333333,-147.50000000,1
1006701,10067,A54,Cannery Bay Airport,"Cannery Bay, AK",1,United States,US,Alaska,AK,02,30067,"Cannery Bay, AK",1,53,N,53.68333333,-166.75000000,1
1006901,10069,A56,Johnsons Landing,"Bear Lake, AK",1,United States,US,Alaska,AK,02,30069,"Bear Lake, AK",1,56,N,56.03666667,-160.26611111,1
1007001,10070,VZK,International Seafoods Airport,"International Seafoods, AK",1,United States,US,Alaska,AK,02,36440,"International Seafoods, AK",1,58,N,58.26666667,-157.53333333,0
1007002,10070,A57,International Seafoods Airport,"International Seafoods, AK",1,United States,US,Alaska,AK,02,36440,"International Seafoods, AK",1,58,N,58.26666667,-157.53333333,1
1007101,10071,A58,Cosna River Airport,"Cosna River, AK",1,United States,US,Alaska,AK,02,30071,"Cosna River, AK",1,64,N,64.50000000,-151.66666667,1
1007201,10072,A59,Ivatuk Airport,"Ivatuk, AK",1,United States,US,Alaska,AK,02,30072,"Ivatuk, AK",1,68,N,68.48777778,-155.75750000,1
1007401,10074,A61,Cape Sarichef AFS,"Cape Sarichef, AK",1,United States,US,Alaska,AK,02,30074,"Cape Sarichef, AK",1,54,N,54.58333333,-164.91250000,0
1007402,10074,A61,Cape Sarichef Airport,"Cape Sarichef, AK",1,United States,US,Alaska,AK,02,30074,"Cape Sarichef, AK",1,54,N,54.58250000,-164.91444444,1
1007501,10075,A62,Taylor Mountain,"Taylor Mountain Mine, AK",1,United States,US,Alaska,AK,02,30075,"Taylor Mountain Mine, AK",1,60,N,60.86777778,-157.39194444,1
1007601,10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,United States,US,Alaska,AK,02,30076,"Yukon Charley Rivvers, AK",1,65,N,65.31111111,-143.13527778,0
1007602,10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,United States,US,Alaska,AK,02,30076,"Yukon Charley Rivvers, AK",1,65,N,65.31138889,-143.13555556,0
1007603,10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,United States,US,Alaska,AK,02,30076,"Yukon Charley Rivvers, AK",1,65,N,65.31166667,-143.13416667,0
1007604,10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,United States,US,Alaska,AK,02,30076,"Yukon Charley Rivvers, AK",1,65,N,65.31138889,-143.13555556,0
1007605,10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",1,United States,US,Alaska,AK,02,30076,"Yukon Charley Rivvers, AK",1,65,N,65.31166667,-143.13416667,1
1007801,10078,A65,Karluk Portage Airport,"Karluk Portage, AK",1,United States,US,Alaska,AK,02,30078,"Karluk Portage, AK",1,57,N,57.53833333,-154.16444444,1
1007901,10079,A66,Hope Airport,"Hope, AK",1,United States,US,Alaska,AK,02,30079,"Hope, AK",1,60,N,60.90555556,-149.62388889,0
1007902,10079,A66,Hope Airport,"Hope, AK",1,United States,US,Alaska,AK,02,30079,"Hope, AK",1,60,N,60.90416667,-149.62388889,0
1007903,10079,A66,Hope Airport,"Hope, AK",1,United States,US,Alaska,AK,02,30079,"Hope, AK",1,60,N,60.90722222,-149.62277778,0
1007904,10079,A66,Hope Airport,"Hope, AK",1,United States,US,Alaska,AK,02,30079,"Hope, AK",1,60,N,60.90416667,-149.62388889,0
1007905,10079,A66,Hope Airport,"Hope, AK",1,United States,US,Alaska,AK,02,30079,"Hope, AK",1,60,N,60.90722222,-149.62277778,1
1008001,10080,A67,Viekoda Bay Airport,"Viekoda Bay, AK",1,United States,US,Alaska,AK,02,30080,"Viekoda Bay, AK",1,57,N,57.84944444,-153.11527778,1
1008201,10082,A69,Cathedral Strip,"Cold Bay, AK",1,United States,US,Alaska,AK,02,30082,"Cold Bay, AK",1,55,N,55.74000000,-162.12527778,1
1008301,10083,A70,Village Islands Airport,"Village Islands, AK",1,United States,US,Alaska,AK,02,30083,"Village Islands, AK",1,57,N,57.77416667,-153.54472222,1
1008401,10084,A71,Bear Cove Farm,"Homer, AK",1,United States,US,Alaska,AK,02,30009,"Homer, AK",1,59,N,59.73833333,-151.03000000,1
1008501,10085,A72,Chinitna Bay Airport,"Chinitna Bay, AK",1,United States,US,Alaska,AK,02,30085,"Chinitna Bay, AK",1,59,N,59.83333333,-152.58472222,1
1008601,10086,A73,McKinley National Park,"McKinley Park, AK",1,United States,US,Alaska,AK,02,30086,"McKinley Park, AK",1,63,N,63.73250000,-148.91055556,1
1008701,10087,A74,Dog Fish Bay,"Nanwalek, AK",1,United States,US,Alaska,AK,02,32649,"Nanwalek, AK",1,59,N,59.24111111,-151.87722222,1
1008801,10088,A75,Malina Bay Airport,"Malina Bay, AK",1,United States,US,Alaska,AK,02,30088,"Malina Bay, AK",1,58,N,58.17194444,-152.89416667,1
1008901,10089,A76,Red Fox Bay Airport,"Red Fox Bay, AK",1,United States,US,Alaska,AK,02,30089,"Red Fox Bay, AK",1,58,N,58.46444444,-152.59305556,1
1009001,10090,A77,Shearwater Airport,"Shearwater, AK",1,United States,US,Alaska,AK,02,30090,"Shearwater, AK",1,57,N,57.34333333,-152.89722222,1
1009101,10091,A78,Lake,"Cape Simpson, AK",1,United States,US,Alaska,AK,02,30053,"Cape Simpson, AK",1,71,N,71.03000000,-154.44361111,1
1009201,10092,A79,Cape Simpson No. 1,"Cape Simpson, AK",1,United States,US,Alaska,AK,02,30053,"Cape Simpson, AK",1,71,N,71.50166667,-154.03388889,1
1009301,10093,A80,Cape Simpson No. 7,"Cape Simpson, AK",1,United States,US,Alaska,AK,02,30053,"Cape Simpson, AK",1,70,N,70.57388889,-155.32138889,1
1009401,10094,A81,Cape Simpson #1,"Aglaq, AK",1,United States,US,Alaska,AK,02,30094,"Aglaq, AK",1,70,N,70.66277778,-154.83666667,1
1009501,10095,A82,Nikiski Private Airstrip,"Nikiski, AK",1,United States,US,Alaska,AK,02,30095,"Nikiski, AK",1,60,N,60.69027778,-151.28888889,1
1009601,10096,A83,Petrof Point Airport,"Petrof Point, AK",1,United States,US,Alaska,AK,02,30096,"Petrof Point, AK",1,59,N,59.37638889,-150.76500000,1
1009701,10097,A84,Denali West Lodge Private,"Denali, AK",1,United States,US,Alaska,AK,02,30097,"Denali, AK",1,63,N,63.75555556,-147.93000000,1
1009801,10098,A85,Big River Airport,"Big River, AK",1,United States,US,Alaska,AK,02,30098,"Big River, AK",1,61,N,61.85944444,-154.27666667,1
1010001,10100,A87,Carry Inlet Airport,"Carry Inlet, AK",1,United States,US,Alaska,AK,02,30100,"Carry Inlet, AK",1,58,N,58.58305556,-152.44583333,1
1010201,10102,A89,Montague Island Airport,"Montague Island, AK",1,United States,US,Alaska,AK,02,30102,"Montague Island, AK",1,59,N,59.92500000,-147.51666667,1
1010301,10103,A90,Shannon Pond Airport,"Shannon Pond, AK",1,United States,US,Alaska,AK,02,30103,"Shannon Pond, AK",1,59,N,59.03916667,-158.46388889,1
1010401,10104,A91,Omalik Lagoon Airport,"Omalik Lagoon, AK",1,United States,US,Alaska,AK,02,30104,"Omalik Lagoon, AK",1,69,N,69.15555556,-163.49722222,1
1010501,10105,A92,Omolik Lagoon Airport,"Omolik Lagoon, AK",1,United States,US,Alaska,AK,02,30105,"Omolik Lagoon, AK",1,69,N,69.14805556,-163.51027778,1
1010601,10106,A93,Bradley Lake Project Airport,"Bradley Lake Project, AK",1,United States,US,Alaska,AK,02,30106,"Bradley Lake Project, AK",1,59,N,59.79166667,-151.26666667,1
1010701,10107,A94,Ice Strip,"Barrow, AK",1,United States,US,Alaska,AK,02,30107,"Barrow, AK",1,70,N,70.57416667,-155.31805556,1
1010801,10108,A95,Ice Strip,"Barrow, AK",1,United States,US,Alaska,AK,02,30107,"Barrow, AK",1,70,N,70.31194444,-153.24916667,1
1010901,10109,A96,Ice Strip,"Barrow, AK",1,United States,US,Alaska,AK,02,30107,"Barrow, AK",1,70,N,70.98083333,-157.09500000,1
1011001,10110,A97,Akulik Air Strip,"Akulik, AK",1,United States,US,Alaska,AK,02,30110,"Akulik, AK",1,68,N,68.98555556,-163.47972222,1
1011101,10111,A98,Deadfall Air Strip,"Deadfall, AK",1,United States,US,Alaska,AK,02,30111,"Deadfall, AK",1,69,N,69.17083333,-163.25638889,1
1011201,10112,A99,Eagle Creek Airport,"Eagle Creek, AK",1,United States,US,Alaska,AK,02,30112,"Eagle Creek, AK",1,68,N,68.67666667,-162.64694444,1
1011301,10113,AA1,Ice Kong,"Bethel, AK",1,United States,US,Alaska,AK,02,30113,"Bethel, AK",1,59,N,59.95277778,-162.61694444,1
1011601,10116,AA4,Glacier Split,"Kachemak Bay, AK",1,United States,US,Alaska,AK,02,30116,"Kachemak Bay, AK",1,59,N,59.63333333,-151.20833333,1
1011701,10117,AA5,Selby Lake Airport,"Selby Lake, AK",1,United States,US,Alaska,AK,02,30117,"Selby Lake, AK",1,66,N,66.95583333,-155.61500000,1
1011801,10118,AAA,Anaa Airport,"Anaa, French Polynesia",823,French Polynesia,PF,,,,30118,"Anaa, French Polynesia",823,17,S,-17.35388889,-145.50972222,0
1011802,10118,AAA,Anaa Airport,"Anaa, French Polynesia",823,French Polynesia,PF,,,,30118,"Anaa, French Polynesia",823,17,S,-17.35250000,-145.51000000,1
1011901,10119,AAB,Arrabury Station,"Arrabury, Australia",802,Australia,AU,,,,30119,"Arrabury, Australia",802,26,S,-26.70000000,141.04166667,1
1012001,10120,AAC,El Arish International,"El Arish, Egypt",591,Egypt,EG,,,,30120,"El Arish, Egypt",591,31,N,31.07638889,33.83333333,0
1012002,10120,AAC,El Arish International,"El Arish, Egypt",591,Egypt,EG,,,,30120,"El Arish, Egypt",591,31,N,31.07333333,33.83583333,0
1012003,10120,AAC,El Arish International,"El Arish, Egypt",591,Egypt,EG,,,,30120,"El Arish, Egypt",591,31,N,31.05555556,33.82750000,0
1012004,10120,AAC,El Arish International,"El Arish, Egypt",591,Egypt,EG,,,,30120,"El Arish, Egypt",591,31,N,31.05444444,33.81916667,0
1012005,10120,AAC,El Arish International,"El Arish, Egypt",591,Egypt,EG,,,,30120,"El Arish, Egypt",591,31,N,31.05555556,33.82750000,1
1012101,10121,AAE,Rabah Bitat,"Annaba, Algeria",500,Algeria,DZ,,,,30121,"Annaba, Algeria",500,36,N,36.82166667,7.81000000,0
1012102,10121,AAE,Rabah Bitat,"Annaba, Algeria",500,Algeria,DZ,,,,30121,"Annaba, Algeria",500,36,N,36.82222222,7.80944444,0
1012103,10121,AAE,Rabah Bitat,"Annaba, Algeria",500,Algeria,DZ,,,,30121,"Annaba, Algeria",500,36,N,36.82944444,7.81388889,0
1012104,10121,AAE,Rabah Bitat,"Annaba, Algeria",500,Algeria,DZ,,,,30121,"Annaba, Algeria",500,36,N,36.82222222,7.80944444,1
1012201,10122,AAF,Apalachicola Regional,"Apalachicola, FL",33,United States,US,Florida,FL,12,30122,"Apalachicola, FL",33,29,N,29.72750000,-85.02750000,0
1012202,10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",33,United States,US,Florida,FL,12,30122,"Apalachicola, FL",33,29,N,29.72750000,-85.02750000,0
1012203,10122,AAF,Apalachicola Regional,"Apalachicola, FL",33,United States,US,Florida,FL,12,30122,"Apalachicola, FL",33,29,N,29.72750000,-85.02750000,0
1012204,10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",33,United States,US,Florida,FL,12,30122,"Apalachicola, FL",33,29,N,29.72750000,-85.02750000,0
1012205,10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",33,United States,US,Florida,FL,12,30122,"Apalachicola, FL",33,29,N,29.72638889,-85.02500000,1
1012301,10123,AAH,Aachen/Merzbruck,"Aachen, West Germany",429,West Germany,DE,,,,30123,"Aachen, West Germany",429,50,N,50.82305556,6.18611111,0
1012302,10123,AAH,Aachen/Merzbruck,"Aachen, Germany",429,Germany,DE,,,,30123,"Aachen, Germany",429,50,N,50.82305556,6.18611111,0
1012303,10123,AAH,Aachen/Merzbruck,"Aachen, Germany",429,Germany,DE,,,,30123,"Aachen, Germany",429,50,N,50.82305556,6.18750000,0
1012304,10123,AAH,Aachen Merzbrueck,"Aachen, Germany",429,Germany,DE,,,,30123,"Aachen, Germany",429,50,N,50.82305556,6.18750000,0
1012305,10123,AAH,Aachen Merzbruck,"Aachen, Germany",429,Germany,DE,,,,30123,"Aachen, Germany",429,50,N,50.82305556,6.18750000,0
1012306,10123,AAH,Aachen Merzbrueck,"Aachen, Germany",429,Germany,DE,,,,30123,"Aachen, Germany",429,50,N,50.82305556,6.18750000,0
1012307,10123,AAH,Aachen Merzbrueck,"Aachen, Germany",429,Germany,DE,,,,30123,"Aachen, Germany",429,50,N,50.82166667,6.18416667,1
1012401,10124,AAI,Arraias Airport,"Arraias, Brazil",316,Brazil,BR,,,,30124,"Arraias, Brazil",316,12,S,-12.91666667,-46.93333333,0
1012402,10124,AAI,Arraias Airport,"Arraias, Brazil",316,Brazil,BR,,,,30124,"Arraias, Brazil",316,13,S,-13.02500000,-46.88416667,0
1012403,10124,AAI,Arraias Airport,"Arraias, Brazil",316,Brazil,BR,,,,30124,"Arraias, Brazil",316,13,S,-13.02583333,-46.88361111,0
1012404,10124,AAI,Arraias Airport,"Arraias, Brazil",316,Brazil,BR,,,,30124,"Arraias, Brazil",316,13,S,-13.02500000,-46.88416667,0
1012405,10124,AAI,Arraias Airport,"Arraias, Brazil",316,Brazil,BR,,,,30124,"Arraias, Brazil",316,13,S,-13.02583333,-46.88361111,1
1012501,10125,AAL,Aalborg Airport,"Aalborg, Denmark",419,Denmark,DK,,,,30125,"Aalborg, Denmark",419,57,N,57.09305556,9.85000000,0
1012502,10125,AAL,Aalborg Airport,"Aalborg, Denmark",419,Denmark,DK,,,,30125,"Aalborg, Denmark",419,57,N,57.09277778,9.84916667,0
1012503,10125,AAL,Aalborg Airport,"Aalborg, Denmark",419,Denmark,DK,,,,30125,"Aalborg, Denmark",419,57,N,57.09416667,9.85583333,1
1012601,10126,AAM,Malamala,"Mala Mala, South Africa",562,South Africa,ZA,,,,30126,"Mala Mala, South Africa",562,24,S,-24.80833333,31.54166667,0
